ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_1NLC8J,eswatini,26,No,No,No,Yes,Yes,500,2400,8400,2,Never had,Never had,Yes,Yes,Male,No,No,Never had,No,Yes,No,No,Don't know,Yes,,Yes,Never had,Never had,Never had,,3,Never had,Never had,,Never had,Never had,Low
ID_1AT7O7,eswatini,31,Yes,Yes,No,No,Yes,3500,625,42000,2,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Have now,"Yes, always",No,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,4,Never had,Have now,,Never had,Never had,High
ID_ZTE44R,malawi,39,No,No,No,Yes,Yes,80000,15000,30000,1,,Never had,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Yes,No,No,,Yes,No,No,Never had,Never had,Never had,No,,,,Yes,Never had,Never had,Low
ID_FRI7FZ,lesotho,25,Yes,Yes,No,No,Yes,1500,500,3000,2,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,Never had,Used to have but don't have now,Never had,Yes,,,,Yes,Never had,Used to have but don't have now,Medium
ID_UA9O6H,lesotho,34,No,Yes,No,No,No,3000,200,600,1,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,,,,,Yes,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_3RMZM4,lesotho,28,Yes,No,No,Don't know,Yes,1000,200,700,1,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_90DPIM,malawi,43,Yes,No,No,Don't know,Don't know,304200,70000,3650000,9,,Never had,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,No,No,Never had,Never had,Never had,No,,,,No,,,Low
ID_NLS4SZ,lesotho,24,Yes,No,No,No,Yes,3000,1500,3000,1,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,,,,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_N9WSZV,eswatini,33,No,No,No,No,Yes,700,6000,18000,3,Never had,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,No,No,Yes,Yes,Yes,,Never had,Never had,Never had,,11,Never had,Never had,,Have now,Never had,Low
ID_K2P3AJ,eswatini,54,No,No,No,No,Yes,2700,7300,120000,6,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Have now,"Yes, always",Yes,No,No,No,Yes,Yes,Yes,Have now,Never had,Have now,,3,Never had,Have now,,Never had,Used to have but don’t have now,High
ID_363DHT,lesotho,44,No,Yes,No,Don't know,Don't know,800,500,1000,3,Never had,,,,,,,,,,,,Don't know,No,Yes,Yes,,,,,,,,No,Have now,Used to have but don't have now,High
ID_KCZF2T,lesotho,43,Yes,Yes,No,Yes,No,6000,2000,3200,11,Never had,,,,,,,,,,,,No,No,No,Yes,,,,,,,,No,Never had,Never had,Medium
ID_TWT2I9,eswatini,57,Yes,Yes,Yes,No,Yes,4200,48000,50400,15,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,No,No,No,Yes,Yes,,,Never had,Never had,Never had,,9,Never had,Have now,,Never had,Never had,Medium
ID_BBKV0X,lesotho,22,Yes,No,No,Yes,No,8000,1000,1700,1,Never had,,,,,,,,,,,,Don't know,Yes,Yes,Yes,,,,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_7Z5Q8P,lesotho,41,No,No,Don’t know,Don't know,Don't know,2600,1400,2600,11,Never had,,,,,,,,,,,,No,Yes,No,Yes,,,,,,,,Yes,Have now,Used to have but don't have now,Medium
ID_HRULHH,lesotho,56,Yes,No,No,Don't know,Don't know,400,100,400,15,Never had,,,,,,,,,,,,No,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_8B6J39,lesotho,61,Yes,No,No,No,Yes,97,97,97,5,Never had,Have now,,,,,,,,,,,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,No,Used to have but don't have now,Never had,Low
ID_3IBG3H,eswatini,44,No,No,No,No,Yes,3000,2000,40000,2,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,No,Yes,,Yes,Have now,Never had,Never had,,11,Never had,Never had,,Have now,Never had,Medium
ID_4P220X,malawi,36,Don’t know or N/A,Yes,No,Don't know,Don't know,110000,360000,660000,5,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,Yes,Never had,Never had,Low
ID_AUXZ8K,zimbabwe,58,Yes,No,No,Yes,Yes,100,1440,3000,12,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,,,,,,,Yes,0,Never had,Have now,Yes,,,Medium
ID_JXQKD8,eswatini,30,No,No,No,No,Yes,850,1000,2000,2,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,No,No,Don't know,Yes,,Yes,Never had,Never had,Never had,,6,Never had,Never had,,Never had,Never had,Low
ID_0TT5IQ,zimbabwe,31,Yes,Yes,Don’t know,No,No,50,600,600,3,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,No,Don't know,Yes,No,No,,,,,,,Yes,0,Never had,Have now,Yes,,,Medium
ID_D0Y4Q9,malawi,39,Don’t know or N/A,Yes,No,No,No,84000,500000,720000,2,,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,,,,Yes,Never had,Never had,Low
ID_4MWPMI,malawi,32,Yes,Yes,No,Yes,Yes,105000,7000,10000,2,,Never had,No,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Yes,Yes,No,,Yes,No,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_IS2JC2,lesotho,41,Yes,No,No,No,Yes,5000,1500,2000,2,Never had,,,,,,,,,,,,Don't know,Yes,No,Yes,,,,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_JNN0DY,lesotho,64,Yes,No,No,No,Yes,1000,1000,3500,30,Never had,Have now,,,,,,,,,,,No,Yes,Yes,Yes,Used to have but don't have now,Have now,Have now,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_4HYG1H,lesotho,44,Yes,Yes,No,Don't know,No,1200,300,500,4,Never had,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,No,Used to have but don't have now,Have now,Medium
ID_JV9LHA,eswatini,79,No,No,Yes,Yes,Yes,100000,79000,100000,40,Never had,Never had,Yes,Yes,Female,No,Yes,Never had,"Yes, always",Yes,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,0,Never had,Never had,,Never had,Never had,Low
ID_IG0ZRA,zimbabwe,43,No,No,No,Yes,Yes,50,120,600,6,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,No,,,,,,,No,2,Never had,Never had,Yes,,,Low
ID_YOCVVV,malawi,23,Don’t know or N/A,Yes,No,No,Yes,45000,20000,540000,3,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_1VGM3L,malawi,27,No,Yes,No,No,No,39200,150000,196000,4,,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,,No,No,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_9VZCZM,malawi,34,No,No,No,No,No,6240000,5200000,6240000,8,,Have now,No,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,Yes,No,,Yes,Yes,No,Never had,Never had,Used to have but don't have now,Yes,,,,No,Never had,Never had,Low
ID_5PM7WN,zimbabwe,38,No,No,Don’t know,Don't know,No,800,720,10800,20,Never had,Have now,,Yes,Female,No,No,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,No,,,,,,,No,0,Never had,Have now,,,,Medium
ID_QLQP66,lesotho,66,Yes,No,No,Yes,Yes,97,97,97,1,Never had,Have now,,,,,,,,,,,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_OZL65X,lesotho,53,Yes,No,No,Yes,No,400,200,700,4,Never had,Have now,,,,,,,,,,,No,Yes,No,Yes,,,,Yes,,,,No,Used to have but don't have now,Used to have but don't have now,Low
ID_ZQHT2X,eswatini,32,Yes,No,No,No,Yes,1500,3500,5000,13,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",No,Yes,No,No,No,Yes,Yes,Have now,Never had,Have now,,2,Never had,Have now,,Used to have but don’t have now,Used to have but don’t have now,High
ID_SXKJKM,eswatini,52,No,No,No,No,Yes,6000,1500,3000,5,Never had,Have now,0,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,Yes,No,No,Yes,Yes,Yes,Have now,Never had,Never had,,3,Never had,Never had,,Never had,Never had,Low
ID_I77LX9,malawi,33,No,Yes,Yes,No,Yes,200000,100000,150000,2,,Have now,No,Yes,Male,No,Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_UKAHYV,malawi,30,Don’t know or N/A,No,No,No,Yes,200000,100000,2400000,3,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,No,Yes,No,,Yes,No,No,Never had,Have now,Have now,No,,,,No,,,Low
ID_8489R1,zimbabwe,60,No,Yes,No,Don't know,Don't know,30,,,30,Never had,,,No,Female,"Yes, sometimes",No,Never had,No,Don't know,Yes,No,No,,,,,,,No,0,Never had,Never had,Yes,,,Low
ID_KRNQQF,zimbabwe,21,Yes,Don’t know or N/A,No,Don't know,Don't know,30,240,600,0,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don't know,Yes,No,Don't know,,,,,,,No,1,Never had,Never had,,,,Low
ID_B3W4WI,malawi,25,Yes,No,No,Yes,Yes,27000,3000,27000,,,Never had,No,No,Female,No,No,Never had,No,Yes,No,No,,Yes,No,No,Never had,Never had,Never had,No,5,,,Yes,,,Low
ID_E0HRQS,lesotho,59,Yes,Yes,Don’t know,Don't know,Don't know,1500,600,1000,10,Never had,,,,,,,,,,,,Yes,No,No,Yes,,,,Yes,,,,No,Have now,Have now,Medium
ID_ARJS89,zimbabwe,26,No,No,No,Don't know,Don't know,70,1200,2400,3,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,No,Don't know, Do not know / N‎/A,No,No,,,,,,,No,0,Never had,Never had,,,,Low
ID_8A2VZP,eswatini,35,Yes,Yes,No,No,No,10000,3000,8000,1,Never had,Never had,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",No,No,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,10,Never had,Never had,,Never had,Never had,Low
ID_7Y2ITL,eswatini,50,No,Yes,No,No,Yes,6000,2400,72000,6,Never had,Have now,0,Yes,Male,No,Yes,Never had,No,No,No,No,Yes,Yes,,,Never had,Never had,Never had,,9,Never had,Never had,,Never had,Never had,Low
ID_FP7AH2,lesotho,36,Yes,Don’t know or N/A,No,Don't know,Yes,97,97,97,8,Never had,Have now,Yes,,,,,,,,,,No,Yes,No,Yes,,,,,,,,No,Never had,Never had,Medium
ID_NISOSZ,lesotho,62,No,No,No,No,Yes,400,200,400,6,Never had,Have now,,,,,,,,,,,No,No,Yes,Yes,,,,,,,,Yes,Have now,Used to have but don't have now,Medium
ID_G2ML15,zimbabwe,65,Yes,No,No,Don't know,No,20,20,20,20,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,No,Don't know,No,No,Yes,,,,,,,No,0,Never had,Have now,,,,Medium
ID_Z10VGP,zimbabwe,19,Yes,No,No,Don't know,Don't know,300,2400,3600,0,Never had,,,No,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Don't know, Do not know / N‎/A,No,No,,,,,,,Yes,8,Never had,Never had,,,,Low
ID_NS832E,eswatini,39,Yes,Yes,No,No,Yes,600,1200,2000,0,Never had,Never had,Yes,Yes,Female,No,No,Never had,"Yes, always",Yes,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,,5,Never had,Never had,,Never had,Never had,Low
ID_O3XJVO,eswatini,60,Yes,Yes,No,No,Yes,1500,17000,24000,12,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Don't Know,Yes,No,No,No,,Yes,Never had,Used to have but don’t have now,Never had,,2,Never had,Have now,,Never had,Never had,Medium
ID_LF9YXA,eswatini,55,Yes,No,Yes,No,No,280,8000,3000,12,Never had,Never had,0,Yes,Female,No,Yes,Used to have but don’t have now,"Yes, always",No,Yes,No,Yes,Yes,Yes,,Never had,Never had,Never had,,6,Never had,Have now,,Never had,Never had,Medium
ID_3N52II,zimbabwe,19,No,Yes,No,Yes,Yes,120,1440,2400,1,Never had,,,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,No,No,No,,,,,,,Yes,0,Never had,Never had,,,,Low
ID_U4H6FQ,lesotho,72,Yes,Yes,No,Don't know,Yes,5600,1500,3500,12,Never had,,Yes,,,,,,,,,,No,No,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_AE2APZ,lesotho,49,Yes,No,No,Don't know,No,20000,97,20000,15,Never had,Have now,,,,,,,,,,,No,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Have now,,,,,Yes,Used to have but don't have now,Never had,Low
ID_9DCNWM,eswatini,62,Yes,No,No,No,Yes,3500,3200,65000,5,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Have now,,1,Never had,Never had,,Never had,Never had,Low
ID_LLYA85,lesotho,43,Yes,No,No,No,Yes,97,97,97,1,Never had,Have now,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,No,Used to have but don't have now,Used to have but don't have now,Medium
ID_UYK2VF,lesotho,30,No,No,No,Don't know,Yes,97,97,97,0,Never had,,,,,,,,,,,,Don't know,Yes,Yes,Yes,,,,Yes,,,,No,Have now,Used to have but don't have now,Low
ID_QTBF6B,lesotho,70,Yes,No,Yes,Don't know,No,97,97,97,37,Never had,Have now,,,,,,,,,,,Yes,Yes,No,Yes,Used to have but don't have now,Have now,Have now,,,,,No,Never had,Used to have but don't have now,Low
ID_J42RL1,eswatini,55,No,No,No,Yes,Yes,1500,10500,14000,33,Never had,Have now,Yes,Yes,Male,No,No,Never had,No,No,Yes,No,No,Yes,Yes,,Never had,Never had,Never had,,1,Never had,Never had,,Never had,Never had,Low
ID_7YSLTD,zimbabwe,38,No,Yes,No,Yes,Yes,50,480,1080,2,Never had,Have now,,Yes,Female,No,Yes,Never had,No,Yes,No,No,No,,,,,,,Yes,1,Have now,Have now,,,,Medium
ID_1HFU9P,zimbabwe,49,Yes,No,No,Yes,Yes,50,1800,7200,2,Never had,,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, sometimes",Yes,Yes,No,No,,,,,,,Yes,0,Never had,Never had,,,,Medium
ID_GTUMP1,zimbabwe,34,Yes,No,No,No,No,500,2400,4200,6,Never had,Have now,,Yes,Male,"Yes, always",Yes,Never had,No,No,Yes,No,Yes,,,,,,,Yes,0,Never had,Have now,,,,Medium
ID_2MOVS0,eswatini,53,Yes,No,Yes,No,Yes,5000,13700,1000,12,Never had,Have now,0,Yes,Female,No,No,Never had,"Yes, sometimes",No,No,No,No,Yes,,,Never had,Never had,Have now,,11,Never had,Never had,,Used to have but don’t have now,Used to have but don’t have now,Low
ID_Q3T08A,lesotho,50,Yes,No,Yes,No,No,8000,800,5000,10,Have now,Have now,,,,,,,,,,,Yes,Yes,No,Yes,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,,,,,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_9M73SL,zimbabwe,41,Yes,No,No,No,No,200,1560,28800,1,Never had,,,No,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",No,Yes,No,Yes,,,,,,,No,9,Never had,Never had,,,,Low
ID_MTCH20,zimbabwe,49,Yes,No,No,No,Yes,600,7200,9600,10,Never had,,Yes,Yes,Female,"Yes, always",No,Never had,"Yes, always",No,Yes,No,Yes,,,,,,,No,0,Never had,Never had,Yes,,,Low
ID_QLLD0N,eswatini,42,Yes,No,No,Yes,Yes,2000,2600,4800,8,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",Yes,No,No,No,Yes,,Yes,Never had,Never had,Never had,,2,Never had,Never had,,Never had,Never had,Low
ID_FCR5LV,malawi,23,No,Yes,Yes,No,Yes,200000,40,9125000,3,,Have now,No,Yes,Male,"Yes, sometimes",No,Have now,Yes,Yes,Yes,No,,Yes,No,Yes,Never had,Never had,Never had,Yes,,,,No,,,Medium
ID_8LYMJ1,eswatini,60,Yes,No,Yes,Yes,Yes,1500,3000,4000,7,Never had,Have now,0,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,,4,Never had,Never had,,Used to have but don’t have now,Never had,Medium
ID_WE4C1V,eswatini,36,Yes,Yes,No,Yes,No,2500,60,150,2,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,No,Yes,No,No,Don't know,Yes,,Yes,Never had,Never had,Never had,,11,Never had,Never had,,Never had,Never had,Low
ID_NFQRWU,zimbabwe,39,No,No,No,No,Yes,95,,,4,Never had,,,Yes,Female,No,No,Never had,No,No,No,No,No,,,,,,,Yes,2,Never had,Never had,,,,Low
ID_FI53LL,eswatini,62,No,No,No,No,No,1500,60000,96000,26,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,"Yes, always",No,No,No,Yes,Yes,,Yes,Never had,Have now,Never had,,6,Never had,Have now,,Never had,Never had,Medium
ID_3B27LA,malawi,45,Don’t know or N/A,Yes,No,Don't know,Don't know,120000,600000,1500000,6,,Never had,Yes,Yes,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_MJDIMB,eswatini,38,No,No,Yes,No,Yes,7000,25000,30000,16,Never had,Have now,0,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,No,No,Yes,Yes,Never had,Have now,Have now,,1,Never had,Never had,,Used to have but don’t have now,Never had,Medium
ID_XT7JO0,malawi,39,Don’t know or N/A,No,No,No,No,80000,250000,300000,15,,Never had,No,Yes,Male,"Yes, always",Yes,Never had,No,No,Yes,No,,Yes,Yes,Yes,Never had,Never had,Never had,No,,,,No,,,Low
ID_4NXVKD,eswatini,40,No,Yes,No,Yes,Yes,500,100,80,13,Never had,Never had,0,Yes,Female,"Yes, sometimes",No,Never had,No,Yes,No,No,No,Yes,,,Never had,Never had,Never had,,1,Never had,Never had,,Never had,Never had,Low
ID_BUPL5R,malawi,25,No,No,No,No,Don't know,75000,20000,25000,3,,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,Yes,,,,No,,,Low
ID_YEFAPW,zimbabwe,30,Yes,Yes,Yes,No,No,6000,12000,72000,5,Never had,,Yes,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,No,Yes,,,,,,,No,0,Never had,Never had,Yes,,,Medium
ID_F66B9Y,zimbabwe,42,No,No,No,No,Yes,80,240,3600,5,Never had,,,Yes,Female,No,Yes,Never had,No,No,Yes,No,No,,,,,,,No,0,Never had,Never had,,,,Low
ID_L0DGH6,eswatini,48,Yes,No,No,No,Yes,1500,9000,14400,1,Never had,Have now,0,Yes,Female,No,No,Never had,"Yes, always",Yes,No,No,Don't know,Yes,Yes,Yes,Have now,Never had,Never had,,0,Never had,Never had,,Never had,Never had,Medium
ID_XMJBLI,lesotho,53,Yes,Don’t know or N/A,No,Don't know,Yes,97,97,97,30,Never had,Have now,,,,,,,,,,,No,Yes,No,,,,,,,,,No,Never had,Used to have but don't have now,Low
ID_DXDF6Y,eswatini,53,Yes,No,No,Yes,Yes,500,780,1500,3,Never had,Have now,0,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Don't Know,Don't Know,No,No,Yes,,Yes,Never had,Never had,Never had,,2,Never had,Have now,,Never had,Never had,Medium
ID_QSY9IS,malawi,40,Yes,Yes,No,Don't know,Yes,90000,15000,25000,12,,Have now,Yes,Yes,Female,"Yes, sometimes",No,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,Yes,No,Never had,Never had,Never had,No,,,,Yes,Never had,Never had,Low
ID_7UPSPA,eswatini,49,Yes,No,Yes,No,Yes,2500,10000,15000,1,Never had,Have now,0,Yes,Male,"Yes, sometimes",Yes,Have now,"Yes, always",No,No,No,No,Yes,Yes,Yes,Never had,Have now,Have now,,10,Never had,Never had,,Used to have but don’t have now,Used to have but don’t have now,High
ID_RZQ6P4,zimbabwe,39,Yes,No,Don’t know,Don't know,Don't know,450,420,540,4,Don't know,,,Yes,Female,"Yes, sometimes",Yes,Never had,No,Don't know, Do not know / N‎/A,No,Yes,,,,,,,No,2,Never had,Never had,,,,Low
ID_P5MD3E,eswatini,33,Yes,No,No,Don't know,Yes,2000,22000,27000,2,Never had,Have now,Yes,Yes,Female,No,No,Never had,"Yes, always",Yes,Yes,No,Don't know,No,Yes,Yes,Never had,Never had,Have now,,1,Never had,Never had,,Never had,Never had,Medium
ID_0YKNFU,eswatini,37,Yes,Yes,No,Yes,Yes,500,250,900,0,Never had,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,No,Yes,No,No,Don't know,Yes,,Yes,Never had,Never had,Never had,,7,Never had,Never had,,Never had,Never had,Low
ID_WOZMLB,zimbabwe,56,Yes,No,No,Don't know,Yes,600,3600,7200,15,Never had,,,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, always",Don't know,Yes,No,Yes,,,,,,,Yes,0,Used to have but don't have now,Have now,Yes,,,Medium
ID_TRPYX8,eswatini,55,No,No,No,Yes,Yes,3200,3600,7000,1,Never had,Have now,0,Yes,Female,No,Yes,Never had,"Yes, always",Yes,Yes,No,Don't know,Yes,,,Never had,Never had,Never had,,3,Never had,Never had,,Never had,Never had,Medium
ID_FCM56J,malawi,25,No,No,No,Don't know,Don't know,1916000,150000,23000000,2,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,No,Yes,Never had,Never had,Have now,No,,,,Yes,,,Low
ID_5CD3BM,malawi,45,No,No,No,No,Yes,450000,180000,375000,2,,Have now,No,Yes,Female,"Yes, sometimes",Yes,Have now,Yes,No,Yes,No,,Yes,No,Yes,Never had,Never had,Never had,Yes,,,,Yes,,,Medium
ID_A1CCYY,eswatini,39,No,Yes,No,Yes,Yes,1500,1440,400,0,Never had,Have now,0,Yes,Female,"Yes, sometimes",No,Never had,No,No,No,No,Don't know,Yes,,,Never had,Never had,Never had,,7,Never had,Never had,,Never had,Never had,Low
ID_05G00R,lesotho,35,Yes,Don’t know or N/A,Yes,Don't know,Yes,97,97,97,3,Never had,,,,,,,,,,,,No,Yes,No,,Have now,Never had,Never had,Yes,,,,No,Used to have but don't have now,Used to have but don't have now,Medium
ID_U139KA,lesotho,18,Yes,Yes,No,Yes,No,268,238,668,2,Never had,Have now,,,,,,,,,,,Don't know,Yes,No,Yes,,,,Yes,,,,Yes,Never had,Used to have but don't have now,Medium
ID_R66EBK,zimbabwe,25,No,No,No,Don't know,Yes,50,720,1800,2,Never had,,,Yes,Female,No,No,Never had,No,Don't know, Do not know / N‎/A,No,Yes,,,,,,,No,2,Never had,Never had,Yes,,,Low
ID_LUK873,eswatini,39,Yes,No,No,No,Yes,5600,57600,67200,3,Never had,Have now,0,Yes,Female,"Yes, sometimes",No,Never had,"Yes, sometimes",No,No,No,Yes,Yes,,Yes,Never had,Never had,Never had,,11,Never had,Have now,,Never had,Never had,Medium
ID_SH4LV7,malawi,49,No,No,No,No,No,150000,14000,30000,12,,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,No,No,No,No,,Yes,No,Yes,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_Y9PE0H,eswatini,51,No,Yes,No,Yes,No,500,5000,1000,12,Used to have but don’t have now,Have now,Yes,Yes,Female,No,No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,,,Have now,Never had,Used to have but don’t have now,,2,Never had,Have now,,Never had,Have now,High
ID_FRUXTN,malawi,25,Don’t know or N/A,Yes,No,Don't know,Don't know,100000,18000,960000,3,,Never had,No,No,Female,"Yes, sometimes",No,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,,Yes,No,No,Never had,Never had,Never had,No,,,,Yes,,,Low
ID_A1AT2E,malawi,24,Yes,No,No,Yes,No,200000,50000,15000,,,Have now,No,Yes,Female,No,Yes,Never had,Yes,No,Yes,No,,Yes,No,No,Never had,Never had,Have now,No,7,,,Yes,,,Low
ID_0IV1GG,eswatini,54,Yes,Yes,No,Yes,Yes,200,450,600,15,Never had,Have now,0,Yes,Female,No,Yes,Never had,No,Yes,Yes,No,No,Yes,Yes,Yes,Never had,Never had,Never had,,0,Never had,Never had,,Never had,Never had,Low
ID_X0JYD1,zimbabwe,28,Yes,No,No,No,Yes,210,840,3360,8,Never had,,Yes,No,Female,No,Yes,Never had,"Yes, sometimes",No,No,No,No,,,,,,,No,1,Never had,Never had,Yes,,,Low
ID_FRPK9V,malawi,22,Yes,Yes,No,No,No,650000,7000000,9000000,3,,Never had,No,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,,Yes,No,No,Never had,Never had,Never had,Yes,,,,No,,,Low
ID_5CP6XI,zimbabwe,44,Yes,Yes,No,No,Yes,50,240,1800,14,Never had,,,Yes,Male,"Yes, sometimes",No,Never had,No,No,Yes,No,No,,,,,,,Yes,0,Never had,Never had,,,,Low
ID_9U7H7B,zimbabwe,44,Yes,No,No,No,No,800,4800,7440,6,Have now,Have now,,Yes,Male,No,Yes,Never had,"Yes, always",No,Yes,No,Yes,,,,,,,No,0,Have now,Have now,,,,Medium
ID_0ZDLCC,malawi,25,No,No,No,No,No,100000,70000,120000,1,,Have now,Yes,Yes,Female,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,Yes,No,,Yes,No,Yes,Never had,Never had,Never had,No,,,,Yes,Have now,Never had,Low
ID_SOG68Z,zimbabwe,23,Yes,No,Don’t know,Yes,Yes,1200,9600,12000,8,Never had,,,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,No,No,,,,,,,No,0,Never had,Never had,,,,Low
